|texto|sentimiento|categoria
93|La calidad de los productos que adquirí superó todas mis expectativas, construidos con atención y durabilidad, se destacan tanto en diseño como en funcionalidad, un verdadero hallazgo.|1|1
94|"La película que vi el fin de semana fue un crucible de emociones, con una trama intrincada y efectos visuales cautivadores; ciertamente la recomendaría a cualquier amante del buen cine."""|1|1
95|Lamentablemente, la atención en el restaurante fue un laberinto de problemas, desde el servicio lento hasta la comida fría, fue una experiencia que no deseo repetir.|0|1
96|"Mi interacción con el servicio técnico dejó mucho que desear; en lugar de ayudar, solo aumentaron la confusión y el problema inicial, sumergiéndome en una frustrante experiencia."""|0|1
97|"El producto que compré se deshizo al poco tiempo de uso, una decepción que el servicio postventa no mejoró; en lugar de una solución, recibí excusas."""|0|1
98|"El producto que compré se deshizo al poco tiempo de uso, una decepción que el servicio postventa no mejoró; en lugar de una solución, recibí excusas."""|0|1
99|"La película fue una verdadera pérdida de tiempo, con un guion predecible y actuaciones sin vida; la falta de calidad ciertamente fue evidente."""|0|1
100|La muestra de arte contemporáneo superó todas mis expectativas, los colores vibrantes y las temáticas sociales transmitían un mensaje profundo y emotivo.|1|2
101|El festival de danza cultural fue increíble, cada actuación reflejaba una riqueza y diversidad cultural que emocionó a todos los asistentes.|1|2
102|El evento de intercambio cultural permitió conocer costumbres y tradiciones de diferentes países, creando un ambiente de aprendizaje y respeto mutuo.|1|2
103|La película histórica que vi recientemente estaba muy bien documentada, los detalles y la ambientación transportaban al espectador a otra época.|1|2
104|El taller de cerámica ancestral me permitió aprender técnicas artesanales milenarias, apreciando aún más el valor del arte tradicional.|1|2
105|El festival cultural fue bastante decepcionante, las actividades no tenían cohesión y parecía que faltaba organización en todo momento.|0|2
106|La exposición de esculturas modernas me dejó indiferente, no logré conectar con el estilo y la falta de contexto de algunas obras.|0|2
107|El evento prometía una experiencia cultural completa, pero resultó ser una presentación monótona sin ningún valor añadido para el público.|0|2
108|Asistí a una obra de teatro que, aunque tenía un guion interesante, la actuación fue tan plana que se perdió todo el dramatismo de la historia.|0|2
109|El museo tenía pocas exposiciones abiertas y la mayoría estaban en malas condiciones, fue una experiencia frustrante para los visitantes.|0|2
110|La nueva plataforma educativa ha facilitado muchísimo el aprendizaje, permite acceder a contenido didáctico de alta calidad en cualquier momento del día.|1|3
111|El programa de tutorías personalizadas ha sido fundamental para mejorar el rendimiento académico de muchos estudiantes, se sienten más seguros y motivados.|1|3
112|La reciente inversión en laboratorios escolares ha permitido que los alumnos puedan experimentar y aprender de manera práctica en un entorno seguro.|1|3
113|La biblioteca digital de la universidad ofrece un amplio acceso a artículos, libros y tesis que enriquecen el proceso educativo de manera notable.|1|3
114|La implementación de métodos de enseñanza interactivos ha logrado captar el interés de los estudiantes y hacer del aprendizaje una experiencia agradable.|1|3
115|El material de estudio proporcionado está desactualizado y ya no es útil para los temas actuales, los estudiantes no logran profundizar en su aprendizaje.|0|3
116|La plataforma en línea para las clases virtuales es complicada y suele fallar, lo que genera frustración en los estudiantes y afecta el flujo de la clase.|0|3
117|Los recursos de aprendizaje son insuficientes y en muchas ocasiones los estudiantes no tienen acceso a lo que necesitan para hacer sus tareas.|0|3
118|El método de enseñanza en algunos cursos es obsoleto, los estudiantes pierden interés porque no encuentran relevancia en lo que están aprendiendo.|0|3
119|Las instalaciones del colegio están en malas condiciones, lo que da una mala imagen y afecta la comodidad y seguridad de los estudiantes.|0|3
120|Lo pasamos muy bien en nuestra salida.|1|1
121|Nuestra cita fue muy agradable.|1|1
122|Me gusta mucho este tipo de helado.|1|1
123|Siento que mejoran cada vez más en calidad de sus productos.|1|1
124|Esa felicula fue fantastica.|1|1
125|Estoy muy decepcionado por como me trataron.|0|1
126|Me hiciseron sentir super mal.|0|1
127|Lo pasamos horrible en aquella salida.|0|1
128|No quiero voler a salir con ellos, estuvo muy aburrido.|0|1
129|En mi opinion está muy mal lo que hizo ella.|0|1
130|La exposición de arte moderno en el museo fue maravillosa, cada obra estaba llena de vida y creatividad, un deleite para los amantes del arte.|1|2
131|El concierto de la orquesta sinfónica fue una experiencia impresionante, cada pieza interpretada con una pasión que llegaba al alma, lo disfruté mucho.|1|2
132|La festividad cultural de este año fue realmente asombrosa, las tradiciones, bailes y muestras gastronómicas representaron fielmente nuestra herencia.|1|2
133|El documental que vi sobre las antiguas civilizaciones fue fascinante, muy bien investigado y con imágenes impactantes, muy recomendable.|1|2
134|La visita guiada al sitio arqueológico fue educativa y emocionante, el guía explicaba cada detalle con gran entusiasmo y conocimiento.|1|2
135|El festival cultural de este año fue bastante decepcionante, la organización fue deficiente y las actividades parecían improvisadas.|0|2
136|Visité el museo pero muchas de las exhibiciones estaban cerradas, lo cual fue frustrante, especialmente después de pagar la entrada completa.|0|2
137|La obra de teatro no fue lo que esperaba, el guion carecía de cohesión y las actuaciones no lograron conectar con el público.|0|2
138|El concierto fue una experiencia incómoda debido al mal sonido, apenas se podían entender las letras de las canciones.|0|2
139|La exposición de arte contemporáneo no fue de mi gusto, parecía falta de creatividad y sin un tema claro, me dejó insatisfecho. |0|2
140|La nueva metodología de enseñanza ha logrado que los estudiantes participen más y disfruten del proceso de aprendizaje, es un cambio notable.|1|3
141|Estoy impresionado con la calidad de los recursos educativos disponibles en línea, hacen que el aprendizaje sea accesible y práctico.|1|3
142|La universidad ha implementado programas de tutoría que han sido muy útiles para los alumnos, han ayudado mucho en su desarrollo académico. |1|3
143|La conferencia educativa a la que asistí fue inspiradora, los ponentes eran expertos en su área y brindaron conocimientos muy valiosos. |1|3
144|La escuela ha realizado mejoras en sus instalaciones y se nota que los estudiantes están más cómodos y enfocados en sus estudios. |1|3
145|El material educativo está desactualizado y no refleja los avances recientes en la materia, los estudiantes no están aprendiendo lo necesario. |0|3
146|La plataforma de aprendizaje en línea es confusa y difícil de usar, paso más tiempo tratando de entenderla que aprendiendo realmente. |0|3
147|Los recursos para la clase son limitados y muchas veces no están disponibles cuando los necesitamos, lo que afecta el proceso de aprendizaje. |0|3
148|El nivel de los profesores en algunos cursos deja mucho que desear, no están preparados para enseñar y eso se refleja en el desempeño de los alumnos. |0|3
149|Las condiciones de la escuela son bastante deficientes, hay falta de infraestructura adecuada para llevar a cabo las clases correctamente. |0|3
150|La atención en la tienda fue excepcional, el personal fue muy amable y servicial.|1|1
151|El libro que leí recientemente me inspiró profundamente, no podía dejar de pensar en sus enseñanzas.|1|1
152|La clase de yoga que tomé fue revitalizante, el instructor fue muy profesional y atento.|1|1
153|La decoración de la habitación del hotel era encantadora, me sentí como en casa.|1|1
154|Disfruté mucho del viaje, los paisajes eran impresionantes y la gente muy acogedora.|1|1
155|La comida en el restaurante estaba insípida y no cumplió con mis expectativas.|0|1
156|El servicio al cliente fue deficiente, no respondieron mis correos y me sentí ignorado.|0|1
157|La última actualización de la aplicación trajo más problemas que soluciones, es frustrante.|0|1
158|La calidad de los zapatos que compré fue muy baja, se rompieron en poco tiempo.|0|1
159|La película que vi fue un verdadero fiasco, no logró captar mi interés en ningún momento.|0|1
160|La conferencia sobre historia antigua fue muy interesante, el conferenciante tenía un gran conocimiento sobre el tema.|1|2
161|El festival de música folclórica fue una verdadera celebración de nuestras raíces, con música y bailes tradicionales hermosos.|1|2
162|La visita al museo de historia natural fue una experiencia emocionante, con exposiciones interactivas y bien explicadas.|1|2
163|El libro que leí sobre la cultura japonesa fue fascinante, me dio una nueva perspectiva sobre su forma de vida.|1|2
164|La exposición de fotografía de viajes fue inspiradora, con imágenes impresionantes de diferentes partes del mundo.|1|2
165|La exposición de arte moderno fue confusa y sin sentido, con obras que no tenían una conexión clara entre ellas.|0|2
166|El concierto de música clásica fue una decepción, con un mal sonido y artistas que no estaban a la altura de las expectativivas.|0|2
167|La visita al museo de historia fue decepcionante, con exposiciones anticuadas y sin una actualización en muchos años.|0|2
168|El libro que leí sobre la cultura china fue aburrido y sin interés, con una escritura pesada y difícil de seguir.|0|2
169|La exhibición de fotografía de viajes fue decepcionante, con imágenes sin inspiración y sin una historia que contar.|0|2
170|La nueva plataforma educativa ha facilitado el aprendizaje, permitiendo a los estudiantes acceder a recursos de alta calidad en cualquier momento.|1|3
171|El programa de tutorías personalizadas ha sido fundamental para mejorar el rendimiento académico, haciendo que los estudiantes se sientan más seguros y motivados.|1|3
172|La reciente inversión en laboratorios escolares ha permitido a los alumnos experimentar y aprender de manera práctica en un entorno seguro.|1|3
173|La biblioteca digital de la universidad ofrece un acceso amplio a artículos, libros y tesis que enriquecen notablemente el proceso educativo.|1|3
174|La implementación de métodos de enseñanza interactivos ha logrado captar el interés de los estudiantes, haciendo del aprendizaje una experiencia agradable.|1|3
175|El material de estudio proporcionado está desactualizado y ya no es útil para los temas actuales, lo que limita el aprendizaje de los estudiantes.|0|3
176|La plataforma en línea para las clases virtuales es complicada y suele fallar, generando frustración en los estudiantes y afectando el flujo de la clase.|0|3
177|Los recursos de aprendizaje son insuficientes, y en muchas ocasiones los estudiantes no tienen acceso a lo que necesitan para hacer sus tareas.|0|3
178|El método de enseñanza en algunos cursos es obsoleto, lo que provoca que los estudiantes pierdan interés y no encuentren relevancia en lo que aprenden.|0|3
179|Las instalaciones del colegio están en malas condiciones, lo que afecta la comodidad y seguridad de los estudiantes.|0|3
180|La comida en este café es deliciosa, cada plato que probé fue una verdadera delicia.|1|1
181|La música en vivo en el bar fue increíble, crearon un ambiente perfecto para disfrutar la noche.|1|1
182|Estoy muy contento con mi compra, el producto es de alta calidad y cumple con lo prometido.|1|1
183|La serie que empecé a ver es adictiva, cada episodio me deja con ganas de más.|1|1
184|La atención en el spa fue maravillosa, me sentí completamente relajado después del tratamiento.|1|1
185|La atención en la tienda fue muy mala, el personal parecía desinteresado.|0|1
186|El hotel no cumplió con lo prometido, la habitación estaba sucia y descuidada.|0|1
187|La experiencia en el evento fue decepcionante, la organización dejó mucho que desear.|0|1
188|La música en el bar era demasiado alta, no podía conversar con mis amigos.|0|1
189|La clase de cocina fue un desastre, el instructor no sabía explicar bien.|0|1
190|La clase de cocina internacional fue una delicia, pudimos aprender a cocinar platos típicos de diferentes países.|1|2
191|La película biográfica sobre el artista fue muy conmovedora, mostrando su lucha y pasión por el arte.|1|2
192|La visita al sitio histórico fue una lección de historia viva, con guías expertos que explicaban cada detalle.|1|2
193|La exhibición de arte popular fue colorida y alegre, con obras que reflejaban la cultura local.|1|2
194|La clase magistral sobre literatura fue muy enriquecedora, con un profesor apasionado y experto en el tema.|1|2
195|La exposición de arte contemporáneo fue decepcionante, muchas obras parecían falta de creatividad y sin un tema claro.|0|2
196|El concierto de música clásica fue un fiasco, el sonido era deficiente y los músicos no estaban bien ensayados.|0|2
197|La festividad cultural de este año fue bastante desorganizada, con actividades que no cumplían con las expectativas.|0|2
198|El documental que vi sobre la historia del arte fue aburrido y no aportó nada nuevo al tema.|0|2
199|La visita al museo fue frustrante, muchas exhibiciones estaban cerradas y no había información suficiente.|0|2
200|Los talleres extracurriculares han fomentado el desarrollo de habilidades prácticas y creativas en los estudiantes, complementando su educación formal.|1|3
201|La integración de tecnología en el aula ha facilitado la colaboración entre estudiantes, promoviendo un aprendizaje más dinámico y participativo.|1|3
202|Los programas de intercambio estudiantil han ampliado los horizontes culturales de los alumnos, enriqueciendo su formación personal y académica.|1|3
